minute_utc,access_502,access_503,access_504,app_dep_postgres,app_dep_redis,error_refused,error_timeout
2026-08-20T11:05,8,0,0,0,0,12,0
2026-08-20T11:06,8,0,0,0,0,12,0
2026-08-20T11:07,8,0,0,0,0,12,0
2026-08-20T11:08,8,0,0,0,0,12,0
2026-08-20T11:09,8,0,0,0,0,11,0
2026-08-20T11:12,0,8,0,0,8,0,0
2026-08-20T11:13,0,7,0,0,7,0,0
2026-08-20T11:14,0,8,0,0,8,0,0
2026-08-20T11:15,0,8,0,0,8,0,0
2026-08-20T11:20,0,8,0,8,0,0,0
2026-08-20T11:21,0,8,0,8,0,0,0
2026-08-20T11:25,0,0,4,0,0,0,4
2026-08-20T11:26,0,0,4,0,0,0,4
